node_id,node_type,name,title_canonical,ai_type,job_family,posted_month,origine,source,famille,stage,focus
job_indeed_ma_fe31b9c1429e66d7,Job,,Analyste Data / Dashboard & IA,non-ai,OTHER,2026-04,Maroc,indeed-ma,,,
job_indeed_ma_15593531f2468ea4,Job,,AI Engineer,ai-first,AI_ENGINEER,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_2694810377b07920,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_4043d14d7faeffe9,Job,,Data Scientist Confirmé,ml-first,DATA_SCIENTIST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_51590cda426112b6,Job,,Ingénieur Data Scientist F-H,ml-first,DATA_SCIENTIST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_531c887d30b3d1d2,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_5a6675c56b0f6a54,Job,,AI Engineer / Data Scientist Expérimenté,ai-first,AI_ENGINEER,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_5ae7805e48430f50,Job,,Data Scientist,ai-first,DATA_SCIENTIST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_698c4c84f33c8cdd,Job,,Stagiaire Réseau & IA,ml-first,OTHER,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_6cf8ca59f6b70a38,Job,,Data Engineer,ml-first,DATA_ENGINEER,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_705b59edfa102527,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_a8beff1a550a90c4,Job,,Data Scientist / ML Engineer,ai-first,ML_ENGINEER,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_ab9c30c4f25cb0ee,Job,,Data Scientist Senior,ml-first,DATA_SCIENTIST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_b28cc746a223117a,Job,,Data Analyst Intern,non-ai,DATA_ANALYST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_c7384f2223756a25,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_cdbb5356d58fa806,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_d477154a97a9332c,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-05,Maroc,indeed-ma,,,
job_indeed_ma_fadb77bc8dffb32c,Job,,Associate Data Engineer,non-ai,DATA_ENGINEER,2026-05,Maroc,indeed-ma,,,
job_linkedin_ma_3659272624,Job,,Datascientist,non-ai,DATA_SCIENTIST,2024-05,Maroc,linkedin-ma,,,
job_linkedin_ma_3812380359,Job,,Data Analyst,non-ai,DATA_ANALYST,2024-05,Maroc,linkedin-ma,,,
job_linkedin_ma_3960690001,Job,,Lead Data Manager,non-ai,OTHER,2025-05,Maroc,linkedin-ma,,,
job_linkedin_ma_3980071335,Job,,Quantitative Risk Analyst / Data Analyst,non-ai,DATA_ANALYST,2025-05,Maroc,linkedin-ma,,,
job_linkedin_ma_4072058916,Job,,Lead Data Analyst,non-ai,DATA_ANALYST,2025-05,Maroc,linkedin-ma,,,
job_linkedin_ma_4181774821,Job,,Data Analyst,non-ai,DATA_ANALYST,2025-05,Maroc,linkedin-ma,,,
job_linkedin_ma_4200184624,Job,,Techlead Data,non-ai,OTHER,2025-05,Maroc,linkedin-ma,,,
job_linkedin_ma_4200185538,Job,,"Expert En Intelligence Artificielle, Big Data, Data Science",non-ai,OTHER,2025-05,Maroc,linkedin-ma,,,
job_linkedin_ma_4200185544,Job,,Expert En Business Intelligence BI,non-ai,OTHER,2025-05,Maroc,linkedin-ma,,,
job_linkedin_ma_4200185588,Job,,Senior DataScientist (DS) / Tech Lead DS / Spécialiste ML,ml-first,DATA_SCIENTIST,2025-05,Maroc,linkedin-ma,,,
job_linkedin_ma_4200186502,Job,,Expert Data Scientist,ml-first,DATA_SCIENTIST,2025-05,Maroc,linkedin-ma,,,
job_linkedin_ma_4222274650,Job,,AI Machine Learning Optimization Engineer,ml-first,ML_ENGINEER,2025-05,Maroc,linkedin-ma,,,
job_linkedin_ma_4256571038,Job,,Consultant Actuaire Junior (Réf: CAJ-06/25),non-ai,OTHER,2025-07,Maroc,linkedin-ma,,,
job_linkedin_ma_4296040955,Job,,Consultant Data Analyst,non-ai,DATA_ANALYST,2025-09,Maroc,linkedin-ma,,,
job_linkedin_ma_4296040958,Job,,ML Engineer,ai-first,ML_ENGINEER,2025-09,Maroc,linkedin-ma,,,
job_linkedin_ma_4296041759,Job,,BI Analyst,non-ai,DATA_ANALYST,2025-09,Maroc,linkedin-ma,,,
job_linkedin_ma_4296045498,Job,,Data Manager,non-ai,OTHER,2025-09,Maroc,linkedin-ma,,,
job_linkedin_ma_4296045504,Job,,Data Scientist,ml-first,OTHER,2025-09,Maroc,linkedin-ma,,,
job_linkedin_ma_4296045505,Job,,Data Architect,ml-first,DATA_ARCHITECT,2025-09,Maroc,linkedin-ma,,,
job_linkedin_ma_4296048209,Job,,Consultant Data Engineer,non-ai,DATA_ENGINEER,2025-09,Maroc,linkedin-ma,,,
job_linkedin_ma_4298707980,Job,,Data Engineer Senior,non-ai,DATA_ENGINEER,2025-09,Maroc,linkedin-ma,,,
job_linkedin_ma_4298718485,Job,,Ingénieurs Data,non-ai,OTHER,2025-09,Maroc,linkedin-ma,,,
job_linkedin_ma_4307269812,Job,,Data Engineer Expérimenté,non-ai,DATA_ENGINEER,2025-10,Maroc,linkedin-ma,,,
job_linkedin_ma_4310430163,Job,,Data Engineer,non-ai,DATA_ENGINEER,2025-10,Maroc,linkedin-ma,,,
job_linkedin_ma_4317101767,Job,,Lead Data Engineer,non-ai,DATA_ENGINEER,2025-11,Maroc,linkedin-ma,,,
job_linkedin_ma_4317867434,Job,,Data Engineer / Data Quality & IA Matching,non-ai,DATA_ENGINEER,2025-11,Maroc,linkedin-ma,,,
job_linkedin_ma_4333193580,Job,,Expert Data Analyst,non-ai,DATA_ANALYST,2025-11,Maroc,linkedin-ma,,,
job_linkedin_ma_4334290544,Job,,"Applied AI, Forward Deployed Machine Learning Engineer - Morocco",ai-first,AI_ENGINEER,2025-11,Maroc,linkedin-ma,,,
job_linkedin_ma_4323547878,Job,,Data Analyst,non-ai,DATA_ANALYST,2025-12,Maroc,linkedin-ma,,,
job_linkedin_ma_4348661440,Job,,Data Analyst Confirmé,non-ai,DATA_ANALYST,2025-12,Maroc,linkedin-ma,,,
job_linkedin_ma_4330795213,Job,,Data & Analytics Engineer,non-ai,DATA_ANALYST,2026-01,Maroc,linkedin-ma,,,
job_linkedin_ma_4363654234,Job,,AI Engineer,ai-first,AI_ENGINEER,2026-02,Maroc,linkedin-ma,,,
job_linkedin_ma_4365095341,Job,,Consultant Data Engineer & MLOps,ml-first,MLOPS_ENGINEER,2026-02,Maroc,linkedin-ma,,,
job_linkedin_ma_4365828589,Job,,Data Analyst Tracking Marketing,non-ai,DATA_ANALYST,2026-02,Maroc,linkedin-ma,,,
job_linkedin_ma_4371757417,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-02,Maroc,linkedin-ma,,,
job_linkedin_ma_4372494987,Job,,Data Engineer Expérimenté DBT / SQL / BigQuery,non-ai,DATA_ENGINEER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4372607238,Job,,Data Engineer Sénior (Data Platform),non-ai,DATA_ENGINEER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4372612066,Job,,Data Scientist Sénior SQL/Python,ml-first,DATA_SCIENTIST,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4374752642,Job,,Data Scientist,ai-first,DATA_SCIENTIST,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4375825388,Job,,Data Engineer,non-ai,DATA_ENGINEER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4376144672,Job,,Ingénieure/Ingénieur ETL Informatica,non-ai,OTHER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4376555593,Job,,Consultante/Consultant Data - Snowflake,non-ai,OTHER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4377086994,Job,,Ingénieure/Ingénieur Data GCP Senior,non-ai,OTHER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4378536509,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4378616624,Job,,Data Analyst,ml-first,DATA_ANALYST,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4378756527,Job,,Data Engineer Confirmé,ml-first,DATA_ENGINEER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4378769282,Job,,Ingénieur Data Modeling,non-ai,OTHER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4378787874,Job,,Web Data Analyst Annotator,ai-first,DATA_ANALYST,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4379000176,Job,,Web Data Analyst Annotator,ai-first,DATA_ANALYST,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4380189052,Job,,Google Cloud Data Engineer,non-ai,DATA_ENGINEER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4380359789,Job,,LLM Evaluator (Model Response Analyst),ai-first,OTHER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4380772643,Job,,Big Data Engineer,ml-first,DATA_ENGINEER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4381171678,Job,,Legal Data Analyst,ai-first,DATA_ANALYST,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4381177502,Job,,Computer Vision Annotator,ml-first,CV_ENGINEER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4381770063,Job,,DATA ENGINEER – IA / MLOps,ai-first,MLOPS_ENGINEER,2026-03,Maroc,linkedin-ma,,,
job_linkedin_ma_4381913733,Job,,Legal Data Analyst,ai-first,DATA_ANALYST,2026-03,Maroc,linkedin-ma,,,
